iter	Logloss
0	0.6909580347
1	0.6889452249
2	0.6868147583
3	0.6846286153
4	0.682304336
5	0.6803016725
6	0.6785319127
7	0.6762431545
8	0.6746111939
9	0.6724206923
10	0.6703060395
11	0.6691887791
12	0.6669310968
13	0.6651770724
14	0.6638423405
15	0.6624548455
16	0.6608346588
17	0.6595736096
18	0.6575990314
19	0.6553540125
20	0.6538412452
21	0.6521805226
22	0.6509629412
23	0.6485837411
24	0.6470299251
25	0.6463492649
26	0.6445205235
27	0.6428372331
28	0.6411213961
29	0.639792314
30	0.637387322
31	0.6349830942
32	0.6335242469
33	0.6315637555
34	0.6305514252
35	0.6287914862
36	0.6274659389
37	0.6264763415
38	0.6245443375
39	0.6235827693
40	0.6220056951
41	0.6202216423
42	0.6190396217
43	0.6173268306
44	0.6158493668
45	0.6147893526
46	0.6136564384
47	0.6131932931
48	0.6119506795
49	0.610579381
50	0.6091212902
51	0.6083879545
52	0.6066938845
53	0.6053500853
54	0.6042948889
55	0.6023846833
56	0.6012937329
57	0.6004727957
58	0.5990498652
59	0.5981096209
60	0.5966943489
61	0.5952975139
62	0.5941403685
63	0.5923005043
64	0.5910772602
65	0.5895960969
66	0.5882335273
67	0.5868097838
68	0.5850567284
69	0.5837369154
70	0.5822077806
71	0.5810788818
72	0.5796043826
73	0.5785549712
74	0.5769950291
75	0.5750064657
76	0.5735832195
77	0.5721150258
78	0.5714399234
79	0.5692778702
80	0.5681300687
81	0.5674761888
82	0.5667876068
83	0.5654498132
84	0.5645304328
85	0.5629114853
86	0.5608611108
87	0.5593250761
88	0.5577755276
89	0.5567689664
90	0.5557821501
91	0.5548821322
92	0.5541830416
93	0.5527502026
94	0.551549682
95	0.550609422
96	0.5490720145
97	0.5477970739
98	0.5466112311
99	0.5455387245
100	0.5446162178
101	0.542543918
102	0.5415957719
103	0.5408984435
104	0.5398359203
105	0.5378354086
106	0.5366715049
107	0.5357831858
108	0.5347903239
109	0.5337428629
110	0.5329427853
111	0.532001584
112	0.5313041523
113	0.5297671117
114	0.5281215194
115	0.5274252892
116	0.526103908
117	0.5254189592
118	0.523718519
119	0.5228898784
120	0.5220125661
121	0.5209865159
122	0.5199941019
123	0.5193806662
124	0.5180584738
125	0.5175514769
126	0.5160845517
127	0.5148128027
128	0.5141976451
129	0.5133804346
130	0.5124171457
131	0.5112730371
132	0.510060543
133	0.5088973601
134	0.5076423943
135	0.5065630758
136	0.505483748
137	0.5046813696
138	0.5038389451
139	0.502705024
140	0.5014511185
141	0.5008401282
142	0.5003592379
143	0.4996971357
144	0.4986653944
145	0.4977375582
146	0.4971243516
147	0.4960297669
148	0.4951199286
149	0.4943567319
150	0.4934251655
151	0.4922804664
152	0.4918431196
153	0.4913191329
154	0.4904140831
155	0.4895268011
156	0.4884857698
157	0.4874654459
158	0.4869153154
159	0.4860589883
160	0.4847230896
161	0.4832236547
162	0.4816815241
163	0.4811322397
164	0.4798460781
165	0.4786400431
166	0.4782655582
167	0.4771249606
168	0.4768057236
169	0.4757928876
170	0.4749498576
171	0.4741644839
172	0.4736157754
173	0.4732437349
174	0.4727881606
175	0.471619641
176	0.4705295177
177	0.4693206043
178	0.4680067678
179	0.4673592596
180	0.4663111608
181	0.4652495418
182	0.4644297278
183	0.4635236025
184	0.4625590227
185	0.4611293602
186	0.4605786703
187	0.4599367023
188	0.4593475784
189	0.4587115165
190	0.4576656007
191	0.4570562557
192	0.4565381546
193	0.455733237
194	0.4546703823
195	0.4536267446
196	0.4528583344
197	0.4520498842
198	0.4513564031
199	0.4509910587
200	0.4498643529
201	0.4489430285
202	0.4480489624
203	0.4470873522
204	0.4465231435
205	0.4459128982
206	0.4449965036
207	0.4440443453
208	0.4432620708
209	0.4419998767
210	0.4413376415
211	0.4402818252
212	0.4393948424
213	0.4386159287
214	0.437692386
215	0.436915504
216	0.4364843682
217	0.4356726072
218	0.4344538357
219	0.4333242194
220	0.4324100037
221	0.4310914054
222	0.4301506774
223	0.4294469219
224	0.4282548087
225	0.4268737355
226	0.4259157743
227	0.4253686295
228	0.4248942122
229	0.4241285567
230	0.4233361647
231	0.4230455124
232	0.4225704817
233	0.4216567433
234	0.4211595761
235	0.4205589098
236	0.4199042865
237	0.4193995979
238	0.4182879629
239	0.4169940479
240	0.4160743993
241	0.4144013719
242	0.4136709408
243	0.4130605142
244	0.412211121
245	0.4115475342
246	0.4101868604
247	0.4093121537
248	0.408625534
249	0.4081647498
250	0.4077529348
251	0.407252687
252	0.4067457677
253	0.4056607571
254	0.4046581096
255	0.4039927638
256	0.4033153191
257	0.4022805963
258	0.4017189475
259	0.4008511486
260	0.3998621717
261	0.3990772252
262	0.3981674773
263	0.3968689569
264	0.3952612846
265	0.3940887102
266	0.3933172302
267	0.3924391096
268	0.3914979482
269	0.3907968084
270	0.3897584213
271	0.3888353881
272	0.3881337255
273	0.3871707899
274	0.3865278242
275	0.3854061711
276	0.3841194677
277	0.3834704534
278	0.3821491683
279	0.3815858312
280	0.3812964112
281	0.3796678896
282	0.3782952492
283	0.3776966649
284	0.3766755745
285	0.3760663325
286	0.3750621619
287	0.3742072442
288	0.3732178072
289	0.3727731897
290	0.3714949193
291	0.3701883921
292	0.3694689369
293	0.3689488785
294	0.3683474571
295	0.3677673285
296	0.3664240786
297	0.3654486697
298	0.3645079253
299	0.3638805376
